Player Name,Player ID,Tournament,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Of Own Team,Total Wickets Lost By Own Team,Total Balls Played By Own Team,Total Runs Of Opposition Team,Total Wickets Lost By Opposition Team,Total Balls Played By Opposition Team,Runs Made,Balls Consumed,Batting Position,Dismissed,Dismissal Type,Special Batting Talent,Balls Bowled,Runs Given,Wickets Taken,Maidens Bowled,Batters Dismissed,Special Bowling Talent
Usman Tariq,14,National T20,3,2,2,7,182,2,112,181,3,120,DNB,DNB,DNB,DNB,5,No,24,23,0,0,0,YES
Usman Tariq,14,National T20,23,2,2,9,167,9,120,183,3,120,6,3,10,No,0,No,24,36,1,0,3,YES
Usman Tariq,14,National T20,31,1,2,16,239,2,120,113,10,117,DNB,DNB,DNB,DNB,5,No,24,17,4,0,"4,5,6,9",YES
Usman Tariq,14,National T20,35,2,2,7,140,7,116,138,7,120,DNB,DNB,DNB,DNB,5,No,24,26,0,0,0,YES
Usman Tariq,14,National T20,39,1,2,1,110,9,120,111,1,96,7,5,11,No,0,No,24,24,1,0,1,YES
Usman Tariq,14,  Champions T20 2024-25,2,1,1,4,216,3,120,181,10,115,DNB,DNB,DNB,DNB,5,No,24,25,3,0,"1,3,5",YES
Usman Tariq,14,  Champions T20 2024-25,4,1,1,3,162,5,120,150,7,120,DNB,DNB,DNB,DNB,5,No,24,23,2,0,"2,4",YES
Usman Tariq,14,  Champions T20 2024-25,7,2,1,2,167,5,120,170,6,120,DNB,DNB,DNB,DNB,5,No,24,20,2,0,"1,3",YES
Usman Tariq,14,  Champions T20 2024-25,9,1,1,5,190,4,120,185,9,120,DNB,DNB,DNB,DNB,5,No,24,22,2,0,"1,5",YES
Usman Tariq,14,  Champions T20 2024-25,11,2,1,4,170,4,120,168,7,120,DNB,DNB,DNB,DNB,5,No,24,27,0,0,0,YES
Usman Tariq,14,  Champions T20 2024-25,14,1,1,3,168,10,120,169,7,114,2,1,11,YES,3,No,24,39,1,0,4,YES
Usman Tariq,14,  Champions T20 2024-25,17,1,1,2,147,9,120,118,10,111,DNB,DNB,DNB,DNB,5,No,24,23,2,0,"6,7",YES
Usman Tariq,14,  Champions T20 2024-25,20,2,1,5,133,4,84,131,10,120,DNB,DNB,DNB,DNB,5,No,24,25,0,0,0,YES
Usman Tariq,14,  Champions T20 2024-25,22,1,1,2,199,5,120,124,10,115,DNB,DNB,DNB,DNB,5,No,24,10,2,0,"4,6",YES
Usman Tariq,14,PSL X,2,1,1,5,216,3,120,136,10,91,DNB,DNB,DNB,DNB,5,No,24,26,2,0,"5,6",YES
Usman Tariq,14,PSL X,4,2,1,4,140,10,98,219,6,120,5,6,11,No,0,No,24,31,1,0,5,YES
Usman Tariq,14,PSL X,17,1,1,5,178,7,120,114,10,92,DNB,DNB,DNB,DNB,5,No,18,30,1,0,5,YES
Usman Tariq,14,PSL X,18,2,1,6,90,0,41,89,10,102,DNB,DNB,DNB,DNB,5,No,18,13,0,0,0,YES
Usman Tariq,14,PSL X,21,2,1,4,DNP,DNP,DNP,111,3,69,DNB,DNB,DNB,DNB,5,No,15,23,2,0,"2,4",YES
Usman Tariq,14,PSL X,23,2,1,3,159,8,119,157,9,120,0,0,10,No,0,No,24,29,1,0,2,YES
